safe-conduct	เอกสารอนุญาตให้ผ่านได้โดยเฉพาะช่วงสงคราม
pulchritudinous	สวย
no end of	จำนวนมาก (ของบางสิ่ง)
learn something the hard way	เรียนรู้จากประสบการณ์
lay in1	หยุดทำงาน (เหมืองถ่านหิน)
morning room	ห้องสำหรับนั่งตอนเช้า
I'll	คำย่อของ I will หรือ I shall
palm off as	หลอกว่าเป็น (คำไม่เป็นทางการ)
disbar from	เพิกถอนจากการเป็นทนาย
lido	สถานที่พักผ่อนตามชายทะเล
whip on	ตีหรือฟาดกระตุ้นม้าให้ไปข้างหน้า
configuration	โครงร่างภายนอก
dangle before	แกว่งเล่นอยู่ข้างหน้า
incline towards	ลาดเอียงไปทาง
pack horse	ม้าซึ่งใช้บรรทุกสัมภาระ
eggbeater	เฮลิคอปเตอร์ (คำสแลง)
suborner	ผู้ติดสินบน
apartment	อาคารที่มีห้องชุด
emotionalist	คนเจ้าอารมณ์
flowerpot	กระถางดอกไม้
wallower	ผู้กลิ้งตัว
listen	ฟัง
vilify	ใส่ความ
savagely	อย่างป่าเถื่อน
salutation	คำทักทาย (คำขึ้นต้นจดหมาย)
on the nose	ตรง (เวลา)
woeful	เลวร้ายมาก
sprinkle onto	โปรยบน
shove to	ปิดให้สนิท
sceptic	ซึ่งสงสัย
pathetical	น่าสงสาร
tocsin	สัญญาณเตือนภัย
shot	โอกาส
sportsmanship	การเข้าร่วมในการกีฬา
have charge of	รับผิดชอบ
Drop dead!	ไปให้พ้น
unequivocal	ชัดเจน
clue in	ให้เบาะแสกับ (คำไม่เป็นทางการ)
gathering	การจับกลุ่ม
coy	ซึ่งหลบเลี่ยง
drape over	วางส่วนของร่างกายบนหรือเหนือ
dawdle away	เสียไปโดยเปล่าประโยชน์ (เช่นเวลา)
outspokenness	ความตรงไปตรงมา
vice-presidency	การเป็นรองประธาน
tear across2	วิ่ง / เคลื่อนข้ามอย่างเร็ว
technology	เครื่องมือหรือเครื่องยนต์ที่สร้างขึ้นจากความรู้ทางเทคโนโลยี
worldly	ซึ่งเจนโลก
staid	เงียบขรึม
deck out	ประดับตกแต่ง
eugenically	โดยเกี่ยวกับการปรับปรุงลักษณะทางพันธุกรรมของมนุษย์ให้ดีขึ้น
q	พยัญชนะภาษาอังกฤษตัวที่ 17
ballot	ลงคะแนน
conductor	ผู้ควบคุมวงดนตรี
virulently	อย่างมีพิษรุนแรง
up-to-date	ทันสมัย
solstice	ช่วงเวลาที่ดวงอาทิตย์อยู่ห่างจากเส้นศูนย์สูตรมากที่สุด
abortive	ซึ่งไร้ผล
disloyal	ไม่ซื่อสัตย์
dom	ตำแหน่งพระ
jumble	ยุ่งเหยิง
set of wheels	รถยนต์
sulphur	สีเขียวอมเหลือง
trench coat	เสื้อกันฝนแบบทหาร
immemorial	เก่าแก่มาก
retire on	ปลดเกษียณ
dive in	กระโดดน้ำ
coruscate	ส่องสว่าง
marital status	สถานภาพ (โสด ม่ายหรือแต่งงาน)
human	มนุษย์
ice	ไอศรีม
weeny	เล็กมาก
restively	อย่างดื้อรั้น
paling	การทำรั้วไม้
caudal	ที่เกี่ยวกับหาง
caricature	ภาพล้อเลียนบุคคล
hound down	ตามล่า
jog1	วิ่งเหยาะๆ
gunstock	พานท้ายปืน
bend on	มุ่งมั่นในเรื่อง
mazourka	การเต้นรำพื้นเมืองของชาวโปแลนด์
two-bit	ซึ่งเป็นมูลค่าขั้นต่ำ
snap to attention	ดึงความสนใจ
nuts	เพี้ยน (คำไม่เป็นทางการ)
southernmost	ทางใต้สุด
xerosere	การเริ่มต้นความแห้งแล้ง
joggle	เขย่าเบาๆ
name-calling	การใช้คำหยาบคาย
appreciate	สำนึกบุญคุณ
Quinquagesima	วันอาทิตย์ก่อนวันถือบวชในศาสนาคริสต์
consumedly	อย่างที่สุด
perfectible	ซึ่งทำให้สมบูรณ์ได้
ripped to the tits	เมามาก
fella	คำเรียกผู้ชายหรือเด็กชายอย่างไม่เป็นทางการ
roguishness	ความมีเล่ห์เหลี่ยม
stream	ไหล
-ism	ภาวะ
mutability	ความไม่แน่นอน
peculiarity	ความมหัศจรรย์
chaise longue	เก้าอี้ยาวที่มีพนักหลังและที่เท้าแขนหนึ่งด้าน
concomitant	ที่เกิดขึ้นด้วยกัน
